Academic Year,College/School,Division,Department,Major,Degree,Average GPA,Headcount
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Civilizations,Bachelor of Arts,3.44875,12
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Languages,Bachelor of Arts,3.484166667,6
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,Bachelor of Arts,3.6062,15
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,Bachelor of Arts,3.335133333,15
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Lang & Lit,Bachelor of Arts,3.374857143,7
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Civilizations,Bachelor of Arts,3.2058,5
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,Bachelor of Arts,3.3366,10
2017-18,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Cell & Dev Biology,Bachelor of Arts,3.459162791,172
2017-18,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Immunology,Bachelor of Arts,3.396320755,106
2017-18,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Neurobiology,Bachelor of Arts,3.376655914,93
2017-18,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Genetics,Bachelor of Arts,3.441835821,67
